well_name,x,y,cluster,prob
25-025-21242-00-00,1.1186816,4.460662,1,0.660471906319281
25-025-21243-00-00,1.505459,4.024379,1,1.0
25-025-21244-00-00,2.0434084,3.7557862,1,1.0
25-025-21261-00-00,2.057104,4.4030814,1,1.0
25-025-21273-00-00,0.01971835,4.9508533,1,0.9679583029004141
25-025-21276-00-00,-0.060897406,3.0624094,1,0.8114081495586775
25-025-21277-00-00,0.515923,3.8082237,1,0.7561995727620507
25-025-21278-00-00,1.8973569,5.585427,1,0.6381310317872018
25-025-21279-00-00,5.5572762,4.0666833,-1,0.0
25-025-21281-00-00,2.1349957,3.3646817,1,1.0
25-025-21285-00-00,5.191025,3.3961964,-1,0.0
25-025-21292-00-00,0.3845364,4.6112623,1,0.8090689587892123
25-025-21293-00-00,-1.0708227,3.2816458,1,1.0
25-025-21328-00-00,0.34107652,3.5344956,1,1.0
25-025-21330-00-00,5.6859703,9.554888,0,1.0
25-025-21334-00-00,-0.21001448,2.8254635,1,0.8249974718635417
25-025-21337-00-00,0.75070566,4.1754904,1,0.5342185130889064
25-025-21341-00-00,2.6183565,8.346197,0,0.8648759925123746
25-025-21343-00-00,-1.1414932,3.2881377,1,0.9947653497883427
25-025-21346-00-00,-0.91949713,2.7087953,1,1.0
25-025-21350-00-00,1.6099705,3.4603148,1,1.0
25-025-21351-00-00,-0.009133269,2.7190835,-1,0.0
25-025-21352-00-00,5.7423134,3.9604144,-1,0.0
25-025-21353-00-00,4.842329,2.8929682,-1,0.0
25-025-21354-00-00,3.3071249,6.0593953,4,0.8687028149471184
25-025-21358-00-00,-0.8137301,3.7144454,1,0.9474974342436405
25-025-21360-00-00,2.1717992,3.3092499,1,1.0
25-025-21361-00-00,5.2837453,5.130362,4,1.0
25-025-21362-00-00,5.2472687,2.2158296,6,1.0
25-025-21364-00-00,5.67576,9.485033,0,1.0
25-025-21369-00-00,0.1826048,4.0947475,1,0.8805531455265712
25-025-21372-00-00,2.0628648,3.5155022,1,1.0
25-025-21374-00-00,2.2956464,3.1873147,1,0.8835353584167575
25-025-21375-00-00,1.7968479,3.8087366,1,1.0
25-025-21380-00-00,0.16171104,3.8058717,1,1.0
25-025-21392-00-00,3.9655454,4.7892776,-1,0.0
25-025-21400-00-00,1.9037484,6.0953364,1,0.7644744130007904
25-025-21401-00-00,2.0012734,3.8773496,1,1.0
25-025-21403-00-00,2.0569346,3.5176816,1,1.0
25-025-21405-00-00,2.0049214,4.3401737,1,1.0
25-025-21406-00-00,3.0658784,6.2553167,-1,0.0
25-025-21417-00-00,1.5953594,4.088778,1,1.0
25-025-21420-00-00,0.59991723,5.675933,1,1.0
25-025-21425-00-00,0.11532255,3.0076826,1,0.8247270801751322
25-025-21434-00-00,1.9155623,4.34877,1,1.0
25-025-21440-00-00,0.75037116,5.831529,1,1.0
25-025-21459-00-00,0.2539175,3.1961043,1,1.0
25-025-21460-00-00,4.8907075,3.7286906,-1,0.0
25-025-21462-00-00,0.014468488,4.0273843,1,0.8063386047546516
25-025-21463-00-00,3.7184267,5.831621,4,0.8582372988594007
25-025-21470-00-00,1.906266,5.094681,1,0.5564224079276961
25-025-21471-00-00,1.4615974,4.219688,1,0.9224962953438979
25-025-21472-00-00,3.6346393,6.4848566,-1,0.0
25-025-21486-00-00,4.9684744,4.333637,-1,0.0
25-025-21489-00-00,1.504313,3.3674486,1,1.0
25-025-21494-00-00,1.8706046,3.966977,1,1.0
25-025-21497-00-00,1.2397866,4.3196683,1,0.6610184475875344
